2025-12-25 16:50:03,638 | INFO | req=d48e039636af42ffa49400916993b32a | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 1}
2025-12-25 16:50:03,638 | INFO | req=d48e039636af42ffa49400916993b32a | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:50:03,638 | INFO | req=d48e039636af42ffa49400916993b32a | step=签名验证 | status=成功 | extra={"duration_ms": 0.31}
2025-12-25 16:50:03,639 | INFO | req=d48e039636af42ffa49400916993b32a | step=输入清洗 | status=成功 | extra={"original_length": 52, "cleaned_length": 27, "duration_ms": 0.26}
2025-12-25 16:50:03,639 | INFO | req=d48e039636af42ffa49400916993b32a | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:50:03,639 | INFO | req=d48e039636af42ffa49400916993b32a | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.21}
2025-12-25 16:50:03,639 | INFO | req=d48e039636af42ffa49400916993b32a | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:50:03,639 | INFO | req=d48e039636af42ffa49400916993b32a | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.06}
2025-12-25 16:50:03,639 | INFO | req=d48e039636af42ffa49400916993b32a | step=意图识别 | status=跳过 | extra={"skip_intent_check": true}
2025-12-25 16:50:03,640 | INFO | req=d48e039636af42ffa49400916993b32a | step=加载上下文 | status=成功 | extra={"history_count": 6, "context_length": 468, "duration_ms": 0.67}
2025-12-25 16:50:04,037 | INFO | req=d48e039636af42ffa49400916993b32a | step=选项提取 | status=成功 | extra={"option_count": 0, "duration_ms": 396.49}
2025-12-25 16:50:04,044 | INFO | req=d48e039636af42ffa49400916993b32a | step=常规抽牌与提示词 | status=成功 | extra={"duration_ms": 7.2}
2025-12-25 16:50:04,050 | INFO | req=d48e039636af42ffa49400916993b32a | step=VLLM流式响应 | status=开始 | extra={"phase": "start"}
2025-12-25 16:50:08,994 | INFO | req=d48e039636af42ffa49400916993b32a | step=VLLM流式调用 | status=成功 | extra={"final_attempt": 1, "duration_ms": 4944.07}
2025-12-25 16:50:08,994 | INFO | req=d48e039636af42ffa49400916993b32a | step=VLLM流式响应 | status=成功 | extra={"phase": "end", "response_length": 722}
2025-12-25 16:50:08,995 | INFO | req=d48e039636af42ffa49400916993b32a | step=输出给客户端 | status=成功 | extra={"total_time_ms": 5356.83}
2025-12-25 16:50:08,996 | INFO | req=d48e039636af42ffa49400916993b32a | step=会话历史写入 | status=成功 | extra={"duration_ms": 1.13}
2025-12-25 16:50:08,998 | INFO | req=d48e039636af42ffa49400916993b32a | step=数据库日志写入 | status=成功 | extra={"session": "d48e039636af42ffa49400916993b32a", "duration_ms": 2.58}
2025-12-25 16:52:48,069 | INFO | req=test-session-007 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:52:48,070 | INFO | req=test-session-007 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:52:48,071 | INFO | req=test-session-007 | step=签名验证 | status=成功 | extra={"duration_ms": 0.33}
2025-12-25 16:52:48,071 | INFO | req=test-session-007 | step=输入清洗 | status=成功 | extra={"original_length": 31, "cleaned_length": 6, "duration_ms": 0.06}
2025-12-25 16:52:48,071 | INFO | req=test-session-007 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.05}
2025-12-25 16:52:48,071 | INFO | req=test-session-007 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:52:48,071 | INFO | req=test-session-007 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:52:48,071 | INFO | req=test-session-007 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.06}
2025-12-25 16:52:58,082 | INFO | req=test-session-007 | step=时间范围识别 | status=成功 | extra={"duration_ms": 1840.34}
2025-12-25 16:52:59,374 | INFO | req=test-session-007 | step=意图识别 | status=成功 | extra={"intent_type": "specific_short_term", "duration_ms": 1291.24}
2025-12-25 16:52:59,376 | INFO | req=test-session-007 | step=加载上下文 | status=成功 | extra={"history_count": 6, "context_length": 409, "duration_ms": 1.9}
2025-12-25 16:52:59,683 | INFO | req=test-session-007 | step=选项提取 | status=成功 | extra={"option_count": 0, "duration_ms": 306.55}
2025-12-25 16:52:59,690 | INFO | req=test-session-007 | step=常规抽牌与提示词 | status=成功 | extra={"duration_ms": 6.73}
2025-12-25 16:52:59,690 | INFO | req=test-session-007 | step=VLLM流式响应 | status=开始 | extra={"phase": "start"}
2025-12-25 16:53:04,207 | INFO | req=test-session-007 | step=VLLM流式调用 | status=成功 | extra={"final_attempt": 1, "duration_ms": 4516.95}
2025-12-25 16:53:04,208 | INFO | req=test-session-007 | step=VLLM流式响应 | status=成功 | extra={"phase": "end", "response_length": 668}
2025-12-25 16:53:04,208 | INFO | req=test-session-007 | step=输出给客户端 | status=成功 | extra={"total_time_ms": 16138.62}
2025-12-25 16:53:04,211 | INFO | req=test-session-007 | step=会话历史写入 | status=成功 | extra={"duration_ms": 2.16}
2025-12-25 16:53:04,213 | INFO | req=test-session-007 | step=数据库日志写入 | status=成功 | extra={"session": "test-session-007", "duration_ms": 3.52}
2025-12-25 16:53:22,251 | INFO | req=test_session_7 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,251 | INFO | req=test_session_7 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,251 | INFO | req=test_session_7 | step=签名验证 | status=成功 | extra={"duration_ms": 0.15}
2025-12-25 16:53:22,251 | INFO | req=test_session_7 | step=输入清洗 | status=成功 | extra={"original_length": 45, "cleaned_length": 21, "duration_ms": 0.02}
2025-12-25 16:53:22,251 | INFO | req=test_session_7 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,251 | INFO | req=test_session_7 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:53:22,251 | INFO | req=test_session_7 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,251 | INFO | req=test_session_7 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,274 | INFO | req=test_session_2 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,275 | INFO | req=test_session_2 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,275 | INFO | req=test_session_2 | step=签名验证 | status=成功 | extra={"duration_ms": 0.17}
2025-12-25 16:53:22,275 | INFO | req=test_session_2 | step=输入清洗 | status=成功 | extra={"original_length": 38, "cleaned_length": 14, "duration_ms": 0.03}
2025-12-25 16:53:22,276 | INFO | req=test_session_2 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:53:22,276 | INFO | req=test_session_2 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.03}
2025-12-25 16:53:22,276 | INFO | req=test_session_2 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.03}
