2025-12-25 16:51:46,733 | INFO | req=test_session_3 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,733 | INFO | req=test_session_3 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,734 | INFO | req=test_session_3 | step=签名验证 | status=成功 | extra={"duration_ms": 0.17}
2025-12-25 16:51:46,734 | INFO | req=test_session_3 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.36}
2025-12-25 16:51:46,734 | INFO | req=test_session_3 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,734 | INFO | req=test_session_3 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.21}
2025-12-25 16:51:46,734 | INFO | req=test_session_3 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:51:46,734 | INFO | req=test_session_3 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
2025-12-25 16:51:46,742 | INFO | req=test_session_1 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,742 | INFO | req=test_session_1 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,742 | INFO | req=test_session_1 | step=签名验证 | status=成功 | extra={"duration_ms": 0.09}
2025-12-25 16:51:46,742 | INFO | req=test_session_1 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.1}
2025-12-25 16:51:46,742 | INFO | req=test_session_1 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,742 | INFO | req=test_session_1 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,742 | INFO | req=test_session_1 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
