2025-12-24 19:48:22,102 | INFO | 成功获取请求 | 成功 | request_id=da886b26 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-24 19:48:22,110 | INFO | 成功获取数据库信息 | 成功 | request_id=da886b26 | {"session_id": "test-session-007", "duration_sec": 0.001}
2025-12-24 19:48:33,656 | INFO | 澄清：多流年问题，需要用户选择具体年份 | 澄清 | request_id=da886b26 | {"years_to_analyze": [2025, 2026, 2027, 2028, 2029], "session_id": "test-session-007", "scope": "2025-2029"}
2025-12-24 19:48:33,664 | INFO | 成功输出给客户端 | 成功 | request_id=da886b26 | {"total_time_sec": 11.556, "session_id": "test-session-007"}
2025-12-24 19:54:21,503 | INFO | 成功获取请求 | 成功 | request_id=09958ed6 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-24 19:54:21,505 | INFO | 成功获取数据库信息 | 成功 | request_id=09958ed6 | {"session_id": "test-session-007", "duration_sec": 0.001}
2025-12-24 19:54:32,953 | INFO | 澄清：多流月问题，需要用户选择具体月份 | 澄清 | request_id=09958ed6 | {"months_to_analyze": [[2026, 1], [2026, 2], [2026, 3], [2026, 4], [2026, 5]], "session_id": "test-session-007", "span": 5}
2025-12-24 19:54:32,960 | INFO | 成功输出给客户端 | 成功 | request_id=09958ed6 | {"total_time_sec": 11.455, "session_id": "test-session-007"}
2025-12-24 19:54:41,433 | INFO | 成功获取请求 | 成功 | request_id=244c48d3 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-24 19:54:41,435 | INFO | 成功获取数据库信息 | 成功 | request_id=244c48d3 | {"session_id": "test-session-007", "duration_sec": 0.001}
2025-12-24 19:54:53,260 | INFO | 成功调用ziweiapi | 失败 | request_id=244c48d3 | {"scene": "analysis", "analysis_level": "monthly", "duration_sec": 0.005}
2025-12-24 19:54:53,278 | INFO | 错误：外部紫微API请求失败 | 失败 | request_id=244c48d3 | {"reason": "外部紫微API请求失败", "error_type": "aiohttp.ClientError", "error_message": "400, message='Bad Request', url='http://192.168.1.102:3000/astro_with_option'", "status_code": 503, "session_id": "test-session-007"}
2025-12-24 19:54:53,295 | INFO | 错误：HTTP或网络错误 | 失败 | request_id=244c48d3 | {"reason": "HTTP或网络错误", "error_type": "HTTPException", "error_message": "503: 外部紫微API请求失败: 400, message='Bad Request', url='http://192.168.1.102:3000/astro_with_option'", "status_code": 503, "session_id": "test-session-007"}
2025-12-24 19:54:53,303 | INFO | 成功输出给客户端 | 成功 | request_id=244c48d3 | {"total_time_sec": 11.868, "session_id": "test-session-007"}
2025-12-24 20:21:29,784 | INFO | 成功获取请求 | 成功 | request_id=32752788 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-24 20:21:29,793 | INFO | 成功获取数据库信息 | 成功 | request_id=32752788 | {"session_id": "test-session-007", "duration_sec": 0.001}
2025-12-24 20:21:42,030 | INFO | 成功调用ziweiapi | 失败 | request_id=32752788 | {"scene": "analysis", "analysis_level": "monthly", "duration_sec": 0.006}
2025-12-24 20:21:42,039 | INFO | 错误：外部紫微API请求失败 | 失败 | request_id=32752788 | {"reason": "外部紫微API请求失败", "error_type": "aiohttp.ClientError", "error_message": "400, message='Bad Request', url='http://192.168.1.102:3000/astro_with_option'", "status_code": 503, "session_id": "test-session-007"}
2025-12-24 20:21:42,055 | INFO | 错误：HTTP或网络错误 | 失败 | request_id=32752788 | {"reason": "HTTP或网络错误", "error_type": "HTTPException", "error_message": "503: 外部紫微API请求失败: 400, message='Bad Request', url='http://192.168.1.102:3000/astro_with_option'", "status_code": 503, "session_id": "test-session-007"}
2025-12-24 20:21:42,064 | INFO | 成功输出给客户端 | 成功 | request_id=32752788 | {"total_time_sec": 12.272, "session_id": "test-session-007"}
